detector,family,fpr_target,ref,condition,thr,paired,n,clusters,fpr_ref,fpr_cond,delta,lo,hi,m,significant
deepset,L_jezik_pismo,0.01,sr_latn_orig,sr_cyrl_orig,0.998954,1,150,150,0.1133,0.0533,-0.06,-0.12,0.0,1,-
deepset,M_mesanje,0.01,en_orig,en_mix_3ch,0.998954,1,67,67,0.0,0.0149,0.0149,0.0,0.0597,6,-
deepset,M_mesanje,0.01,en_orig,en_mix_100%,0.998954,1,67,67,0.0,0.209,0.209,0.0896,0.3433,6,DA
deepset,M_mesanje,0.01,sr_latn_orig,sr_latn_mix_3ch,0.998954,1,150,150,0.1133,0.1867,0.0733,0.02,0.14,6,DA
deepset,M_mesanje,0.01,sr_latn_orig,sr_latn_mix_100%,0.998954,1,150,150,0.1133,0.0,-0.1133,-0.1867,-0.0467,6,DA
deepset,M_mesanje,0.01,sr_cyrl_orig,sr_cyrl_mix_3ch,0.998954,1,150,150,0.0533,0.06,0.0067,-0.04,0.0533,6,-
deepset,M_mesanje,0.01,sr_cyrl_orig,sr_cyrl_mix_100%,0.998954,1,150,150,0.0533,0.0,-0.0533,-0.1067,-0.0133,6,DA
deepset,kriva_deskriptivno,0.01,,en_mix_100%,0.998954,0,67,67,,0.209,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_13ch,0.998954,0,67,67,,0.1791,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_1ch,0.998954,0,67,67,,0.0299,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_21ch,0.998954,0,67,67,,0.209,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_25%,0.998954,0,67,67,,0.0597,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_2ch,0.998954,0,67,67,,0.0149,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_3ch,0.998954,0,67,67,,0.0149,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_50%,0.998954,0,67,67,,0.1343,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_5ch,0.998954,0,67,67,,0.0299,,,,,
deepset,kriva_deskriptivno,0.01,,en_mix_8ch,0.998954,0,67,67,,0.0896,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_100%,0.998954,0,150,150,,0.0,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_13ch,0.998954,0,150,150,,0.0133,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_1ch,0.998954,0,150,150,,0.0733,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_21ch,0.998954,0,150,150,,0.0067,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_25%,0.998954,0,150,150,,0.0133,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_2ch,0.998954,0,150,150,,0.0667,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_3ch,0.998954,0,150,150,,0.06,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_50%,0.998954,0,150,150,,0.0,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_5ch,0.998954,0,150,150,,0.06,,,,,
deepset,kriva_deskriptivno,0.01,,sr_cyrl_mix_8ch,0.998954,0,150,150,,0.0467,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_100%,0.998954,0,150,150,,0.0,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_13ch,0.998954,0,150,150,,0.18,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_1ch,0.998954,0,150,150,,0.1533,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_21ch,0.998954,0,150,150,,0.12,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_25%,0.998954,0,150,150,,0.0733,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_2ch,0.998954,0,150,150,,0.1867,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_3ch,0.998954,0,150,150,,0.1867,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_50%,0.998954,0,150,150,,0.0,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_5ch,0.998954,0,150,150,,0.2067,,,,,
deepset,kriva_deskriptivno,0.01,,sr_latn_mix_8ch,0.998954,0,150,150,,0.22,,,,,
deepset,L_jezik_pismo,0.05,sr_latn_orig,sr_cyrl_orig,0.99869,1,150,150,0.7067,1.0,0.2933,0.22,0.3667,1,DA
deepset,M_mesanje,0.05,en_orig,en_mix_3ch,0.99869,1,67,67,0.0448,0.1343,0.0896,0.0149,0.194,6,DA
deepset,M_mesanje,0.05,en_orig,en_mix_100%,0.99869,1,67,67,0.0448,0.8358,0.791,0.6567,0.9104,6,DA
deepset,M_mesanje,0.05,sr_latn_orig,sr_latn_mix_3ch,0.99869,1,150,150,0.7067,0.8533,0.1467,0.0733,0.2267,6,DA
deepset,M_mesanje,0.05,sr_latn_orig,sr_latn_mix_100%,0.99869,1,150,150,0.7067,0.92,0.2133,0.1,0.3267,6,DA
deepset,M_mesanje,0.05,sr_cyrl_orig,sr_cyrl_mix_3ch,0.99869,1,150,150,1.0,1.0,0.0,0.0,0.0,6,-
deepset,M_mesanje,0.05,sr_cyrl_orig,sr_cyrl_mix_100%,0.99869,1,150,150,1.0,0.1267,-0.8733,-0.94,-0.7933,6,DA
deepset,kriva_deskriptivno,0.05,,en_mix_100%,0.99869,0,67,67,,0.8358,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_13ch,0.99869,0,67,67,,0.4776,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_1ch,0.99869,0,67,67,,0.0896,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_21ch,0.99869,0,67,67,,0.597,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_25%,0.99869,0,67,67,,0.4328,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_2ch,0.99869,0,67,67,,0.1194,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_3ch,0.99869,0,67,67,,0.1343,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_50%,0.99869,0,67,67,,0.7761,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_5ch,0.99869,0,67,67,,0.1642,,,,,
deepset,kriva_deskriptivno,0.05,,en_mix_8ch,0.99869,0,67,67,,0.2537,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_100%,0.99869,0,150,150,,0.1267,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_13ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_1ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_21ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_25%,0.99869,0,150,150,,0.9467,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_2ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_3ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_50%,0.99869,0,150,150,,0.58,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_5ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_cyrl_mix_8ch,0.99869,0,150,150,,1.0,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_100%,0.99869,0,150,150,,0.92,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_13ch,0.99869,0,150,150,,0.9533,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_1ch,0.99869,0,150,150,,0.7467,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_21ch,0.99869,0,150,150,,0.98,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_25%,0.99869,0,150,150,,0.98,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_2ch,0.99869,0,150,150,,0.84,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_3ch,0.99869,0,150,150,,0.8533,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_50%,0.99869,0,150,150,,0.9933,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_5ch,0.99869,0,150,150,,0.9067,,,,,
deepset,kriva_deskriptivno,0.05,,sr_latn_mix_8ch,0.99869,0,150,150,,0.9467,,,,,
protectai_v2,L_jezik_pismo,0.01,sr_latn_orig,sr_cyrl_orig,0.999998,1,150,150,0.0,0.0,0.0,0.0,0.0,1,-
protectai_v2,M_mesanje,0.01,en_orig,en_mix_3ch,0.999998,1,67,67,0.0,0.0,0.0,0.0,0.0,6,-
protectai_v2,M_mesanje,0.01,en_orig,en_mix_100%,0.999998,1,67,67,0.0,0.0149,0.0149,0.0,0.0597,6,-
protectai_v2,M_mesanje,0.01,sr_latn_orig,sr_latn_mix_3ch,0.999998,1,150,150,0.0,0.0,0.0,0.0,0.0,6,-
protectai_v2,M_mesanje,0.01,sr_latn_orig,sr_latn_mix_100%,0.999998,1,150,150,0.0,0.0,0.0,0.0,0.0,6,-
protectai_v2,M_mesanje,0.01,sr_cyrl_orig,sr_cyrl_mix_3ch,0.999998,1,150,150,0.0,0.0,0.0,0.0,0.0,6,-
protectai_v2,M_mesanje,0.01,sr_cyrl_orig,sr_cyrl_mix_100%,0.999998,1,150,150,0.0,0.0,0.0,0.0,0.0,6,-
protectai_v2,kriva_deskriptivno,0.01,,en_mix_100%,0.999998,0,67,67,,0.0149,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_13ch,0.999998,0,67,67,,0.0299,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_1ch,0.999998,0,67,67,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_21ch,0.999998,0,67,67,,0.0746,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_25%,0.999998,0,67,67,,0.0448,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_2ch,0.999998,0,67,67,,0.0149,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_3ch,0.999998,0,67,67,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_50%,0.999998,0,67,67,,0.0149,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_5ch,0.999998,0,67,67,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,en_mix_8ch,0.999998,0,67,67,,0.0299,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_100%,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_13ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_1ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_21ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_25%,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_2ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_3ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_50%,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_5ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_cyrl_mix_8ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_100%,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_13ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_1ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_21ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_25%,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_2ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_3ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_50%,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_5ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,kriva_deskriptivno,0.01,,sr_latn_mix_8ch,0.999998,0,150,150,,0.0,,,,,
protectai_v2,L_jezik_pismo,0.05,sr_latn_orig,sr_cyrl_orig,0.96236,1,150,150,0.0067,0.0333,0.0267,0.0067,0.0533,1,DA
protectai_v2,M_mesanje,0.05,en_orig,en_mix_3ch,0.96236,1,67,67,0.0448,0.0597,0.0149,0.0,0.0746,6,-
protectai_v2,M_mesanje,0.05,en_orig,en_mix_100%,0.96236,1,67,67,0.0448,0.5224,0.4776,0.3134,0.6418,6,DA
protectai_v2,M_mesanje,0.05,sr_latn_orig,sr_latn_mix_3ch,0.96236,1,150,150,0.0067,0.02,0.0133,0.0,0.0467,6,-
protectai_v2,M_mesanje,0.05,sr_latn_orig,sr_latn_mix_100%,0.96236,1,150,150,0.0067,0.8933,0.8867,0.8133,0.9467,6,DA
protectai_v2,M_mesanje,0.05,sr_cyrl_orig,sr_cyrl_mix_3ch,0.96236,1,150,150,0.0333,0.04,0.0067,0.0,0.0267,6,-
protectai_v2,M_mesanje,0.05,sr_cyrl_orig,sr_cyrl_mix_100%,0.96236,1,150,150,0.0333,0.9133,0.88,0.8067,0.9467,6,DA
protectai_v2,kriva_deskriptivno,0.05,,en_mix_100%,0.96236,0,67,67,,0.5224,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_13ch,0.96236,0,67,67,,0.2836,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_1ch,0.96236,0,67,67,,0.0597,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_21ch,0.96236,0,67,67,,0.3881,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_25%,0.96236,0,67,67,,0.1343,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_2ch,0.96236,0,67,67,,0.0597,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_3ch,0.96236,0,67,67,,0.0597,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_50%,0.96236,0,67,67,,0.3881,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_5ch,0.96236,0,67,67,,0.0746,,,,,
protectai_v2,kriva_deskriptivno,0.05,,en_mix_8ch,0.96236,0,67,67,,0.1194,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_100%,0.96236,0,150,150,,0.9133,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_13ch,0.96236,0,150,150,,0.0867,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_1ch,0.96236,0,150,150,,0.04,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_21ch,0.96236,0,150,150,,0.14,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_25%,0.96236,0,150,150,,0.3,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_2ch,0.96236,0,150,150,,0.04,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_3ch,0.96236,0,150,150,,0.04,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_50%,0.96236,0,150,150,,0.8333,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_5ch,0.96236,0,150,150,,0.0533,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_cyrl_mix_8ch,0.96236,0,150,150,,0.0533,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_100%,0.96236,0,150,150,,0.8933,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_13ch,0.96236,0,150,150,,0.0467,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_1ch,0.96236,0,150,150,,0.0133,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_21ch,0.96236,0,150,150,,0.08,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_25%,0.96236,0,150,150,,0.08,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_2ch,0.96236,0,150,150,,0.02,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_3ch,0.96236,0,150,150,,0.02,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_50%,0.96236,0,150,150,,0.3333,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_5ch,0.96236,0,150,150,,0.02,,,,,
protectai_v2,kriva_deskriptivno,0.05,,sr_latn_mix_8ch,0.96236,0,150,150,,0.0333,,,,,
